GSID,Methodology
GS12047,ACM0001 Flaring or use of landfill gas
GS715,ACM0001 Flaring or use of landfill gas
GS675,ACM0001 Flaring or use of landfill gas
GS12205,ACM0001 Flaring or use of landfill gas
GS12199,ACM0001 Flaring or use of landfill gas
GS4799,ACM0002 Grid-connected electricity generation from renewable sources
GS5228,ACM0002 Grid-connected electricity generation from renewable sources
GS10869,ACM0002 Grid-connected electricity generation from renewable sources
GS12486,ACM0002 Grid-connected electricity generation from renewable sources
GS10793,ACM0002 Grid-connected electricity generation from renewable sources
GS11709,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation
GS12383,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation
GS1147,AMS-III.F. Avoidance of methane emissions through controlled biological treatment of biomass
GS11664,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS11987,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS12329,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS12330,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS12331,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS12332,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS12333,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS12335,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS13135,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate
GS5099,AMS-III.AJ. Recovery and recycling of materials from solid wastes
